nombre|stock|precio|marca|link|hora|fecha
Jugo Cepita del Valle naranja 1 Lt.|81|111.00|CEPITA|https://diaonline.supermercadosdia.com.ar/jugo-cepita-del-valle-naranja-1-lt-27313/p|01:24:41|2022-03-20
Gaseosa Sprite sin azúcares lima-limón 2,25 Lts.|147|308.00|SPRITE|https://diaonline.supermercadosdia.com.ar/gaseosa-sprite-sin-azucares-lima-limon-225-lts-27183/p|01:24:41|2022-03-20
Gaseosa Dia Pomelo 2,25 Lts.|258|85.00|DIA|https://diaonline.supermercadosdia.com.ar/gaseosa-dia-pomelo-225-lts-24846/p|01:24:41|2022-03-20
Aperitivo Americano Gancia 950 ml.|22|385.00|GANCIA|https://diaonline.supermercadosdia.com.ar/aperitivo-americano-gancia-950-ml-14830/p|01:24:41|2022-03-20
Gaseosa Seven Up Free Lima Limón 2,25 Lts.|56|272.00|SEVEN UP|https://diaonline.supermercadosdia.com.ar/gaseosa-seven-up-free-lima-limon-225-lts-6204/p|01:24:41|2022-03-20
Jugo en Polvo Clight Pomelo Rosado 8 Gr.|99|36.69|CLIGHT|https://diaonline.supermercadosdia.com.ar/jugo-en-polvo-clight-pomelo-rosado-8-gr-282436/p|01:24:41|2022-03-20
Aperitivo Aperol 750 Ml.|20|685.00|APEROL|https://diaonline.supermercadosdia.com.ar/aperitivo-aperol-750-ml-279760/p|01:24:41|2022-03-20
Agua Ser sin gas 2,25 Lts.|44|84.37|SER|https://diaonline.supermercadosdia.com.ar/agua-ser-sin-gas-225-lts-274553/p|01:24:41|2022-03-20
Cerveza Amstel Lager Retornable 1 Lt.|70|189.00|AMSTEL|https://diaonline.supermercadosdia.com.ar/cerveza-amstel-lager-retornable-1-lt-274325/p|01:24:41|2022-03-20
Jugo en Polvo Clight Naranja y Durazno 7,5 Gr.|238|36.69|CLIGHT|https://diaonline.supermercadosdia.com.ar/jugo-en-polvo-clight-naranja-y-durazno-75-gr-274274/p|01:24:41|2022-03-20
Jugo en Polvo Tang Naranja y Banana 18 Gr.|541|34.69|TANG|https://diaonline.supermercadosdia.com.ar/jugo-en-polvo-tang-naranja-y-banana-18-gr-274184/p|01:24:41|2022-03-20
Jugo Del Valle Naranja 1 Lt.|29|109.00|DEL VALLE|https://diaonline.supermercadosdia.com.ar/jugo-del-valle-naranja-1-lt-274154/p|01:24:41|2022-03-20
Jugo Tutti Manzana 200 Ml.|41|21.04|TUTTI|https://diaonline.supermercadosdia.com.ar/jugo-tutti-manzana-200-ml-273392/p|01:24:41|2022-03-20
Jugo Tutti Naranja 200 Ml.|2002|21.24|TUTTI|https://diaonline.supermercadosdia.com.ar/jugo-tutti-naranja-200-ml-273391/p|01:24:41|2022-03-20
Cerveza Roja Andes en lata 473 Ml.|408|212.00|ANDES(CERVEZA)|https://diaonline.supermercadosdia.com.ar/cerveza-roja-andes-en-lata-473-ml-265812/p|01:24:41|2022-03-20
Gaseosa Cola Cunnington 2,25 Lts.|170|103.50|CUNNINGTON|https://diaonline.supermercadosdia.com.ar/gaseosa-cola-cunnington-225-lts-264018/p|01:24:41|2022-03-20
Agua Saborizada Cellier Favaloro Naranja 1,5 Lts.|21|61.99|CELLIER FAVALORO|https://diaonline.supermercadosdia.com.ar/agua-saborizada-cellier-favaloro-naranja-15-lts-263908/p|01:24:41|2022-03-20
Agua Saborizada Cellier Favaloro Pomelo 1,5 Lts.|11|61.99|CELLIER FAVALORO|https://diaonline.supermercadosdia.com.ar/agua-saborizada-cellier-favaloro-pomelo-15-lts-263907/p|01:24:41|2022-03-20
Agua con gas DIA Bajo en sodio 2 Lts.|44|64.20|DIA|https://diaonline.supermercadosdia.com.ar/agua-con-gas-dia-bajo-en-sodio-2-lts-259819/p|01:24:41|2022-03-20
Cerveza Ipa Imperial lata 473 Ml.|166|195.00|IMPERIAL|https://diaonline.supermercadosdia.com.ar/cerveza-ipa-imperial-lata-473-ml-259711/p|01:24:41|2022-03-20
Gaseosa Cola Pepsi Black 1,5 Lts.|38|133.00|PEPSI|https://diaonline.supermercadosdia.com.ar/gaseosa-cola-pepsi-black-15-lts-247793/p|01:24:41|2022-03-20
Gaseosa Coca-Cola sabor original 220 Ml.|48|67.00|COKE/COCACOLA|https://diaonline.supermercadosdia.com.ar/gaseosa-coca-cola-sabor-original-220-ml-243985/p|01:24:41|2022-03-20
Gaseosa Cola Pepsi Black 2,25 Lts.|46|278.00|PEPSI|https://diaonline.supermercadosdia.com.ar/gaseosa-cola-pepsi-black-225-lts-239383/p|01:24:41|2022-03-20
Agua Saborizada Dia Manzana Cero 2,25 Lts.|139|120.00|DIA|https://diaonline.supermercadosdia.com.ar/agua-saborizada-dia-manzana-cero-225-lts-239148/p|01:24:41|2022-03-20
Agua Saborizada Dia Limonada Cero 2,25 Lts.|180|120.00|DIA|https://diaonline.supermercadosdia.com.ar/agua-saborizada-dia-limonada-cero-225-lts-239147/p|01:24:41|2022-03-20
Jugo Cepita del Valle naranja tentación 1 Lts.|20|147.00|CEPITA|https://diaonline.supermercadosdia.com.ar/jugo-cepita-del-valle-naranja-tentacion-1-lts-226420/p|01:24:41|2022-03-20
Gaseosa Cola DIA Cero Azúcar 2,25 Lts.|30|108.00|DIA|https://diaonline.supermercadosdia.com.ar/gaseosa-cola-dia-cero-azucar-225-lts-221837/p|01:24:41|2022-03-20
Bebida isotónica Powerade manzana 995 Ml.|14|102.00|POWERADE|https://diaonline.supermercadosdia.com.ar/bebida-isotonica-powerade-manzana-995-ml-220864/p|01:24:41|2022-03-20
Gaseosa Pepsi Cola 2,25 Lts.|531|278.00|PEPSI|https://diaonline.supermercadosdia.com.ar/gaseosa-pepsi-cola-225-lts-199640/p|01:24:41|2022-03-20
Agua Saborizada con Gas Dia Pera 2 Lts.|34|85.00|DIA|https://diaonline.supermercadosdia.com.ar/agua-saborizada-con-gas-dia-pera-2-lts-159477/p|01:24:41|2022-03-20
Agua saborizada Aquarius pera 2,25 Lts.|39|169.99|AQUARIUS|https://diaonline.supermercadosdia.com.ar/agua-saborizada-aquarius-pera-225-lts-138564/p|01:24:41|2022-03-20
Cerveza Schneider en Lata 473 ml.|2766|125.00|SCHNEIDER|https://diaonline.supermercadosdia.com.ar/cerveza-schneider-en-lata-473-ml-109094/p|01:24:41|2022-03-20
Vino Tinto Finca Las Moras Malbec 750 ml.|15|339.00|FINCA LAS MORAS|https://diaonline.supermercadosdia.com.ar/vino-tinto-finca-las-moras-malbec-750-ml-100322/p|01:24:41|2022-03-20
Gaseosa Sprite sin azúcares lima-limón 1,5 Lts.|36|123.70|SPRITE|https://diaonline.supermercadosdia.com.ar/gaseosa-sprite-sin-azucares-lima-limon-15-lts-87993/p|01:24:41|2022-03-20
Gaseosa Coca-Cola 2,5 Lt|454|328.00|COKE/COCACOLA|https://diaonline.supermercadosdia.com.ar/gaseosa-coca-cola-25-lt-83209/p|01:24:41|2022-03-20
Bebida Energizante Unlimited Speed 250 ml.|114|89.25|SPEED|https://diaonline.supermercadosdia.com.ar/bebida-energizante-unlimited-speed-250-ml-74473/p|01:24:41|2022-03-20
Vino Tinto Colon Malbec 750 Ml.|1445|279.00|COLON (VINO)|https://diaonline.supermercadosdia.com.ar/vino-tinto-colon-malbec-750-ml-66267/p|01:24:41|2022-03-20
